ZONA PORTUARIA;SOCIEDAD PORTUARIA;TIPO DE CARGA;EXPORTACION;IMPORTACIÓN;TRANSBORDO;TRANSITO INTERNACIONAL;FLUVIAL;CABOTAJE;AÑO VIGENCIA;MES VIGENCIA
Z.P. RIO MAGDALENA;PUERTO PIMSA S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;3897;0;;;;2020;2
BUENAVENTURA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;83673;0;;;;2018;10
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;GENERAL;0;6174;0;;;;2018;4
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GENERAL;1096;24958;0;;;;2018;5
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;CONTENEDORES;38835;71616;0;;;;2018;5
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;151998;0;;;;2018;1
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;CONTENEDORES;26886;27634;3865;;;29848;2019;8
BARRANQUILLA;SOCIEDAD PORTUARIA RIVERPORT S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;68550;0;;;;2019;7
CARTAGENA;TERMINAL DE CONTENEDORES DE CARTAGENA S. A.;GENERAL;0;17;502;;;;2020;2
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;GENERAL;44;34;1;;;;2019;5
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL LIQUIDO;29357;10809;0;;;;2019;1
TUMACO;ROMERO Y BURGOS & CIA S.EN C.;GRANEL LIQUIDO;0;0;0;;111;;2019;9
BUENAVENTURA;SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.;CONTENEDORES;85590;162275;22893;;;;2020;11
TURBO;PORTUARIA PUNTA DE VACA S.A.;GRANEL LIQUIDO;0;0;0;;;783;2019;1
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GRANEL LIQUIDO;0;37156;0;;;;2019;11
CARTAGENA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GENERAL;111;0;0;;;;2020;6
GUAJIRA;CERREJON ZONA NORTE S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;6536;0;;;;2019;6
CARTAGENA;ALGRANEL S.A.;GRANEL LIQUIDO;7135;8938;0;;;;2018;4
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL LIQUIDO;0;5531;0;;;;2018;6
G. MORROSQUILLO;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;661618;0;0;;;;2019;10
CARTAGENA;SOCIEDAD PORTUARIA DEL DIQUE S.A.;GRANEL LIQUIDO;0;0;0;;;14514;2020;10
G. MORROSQUILLO;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;713790;0;0;;;;2019;1
BUENAVENTURA;GRUPO PORTUARIO S.A;CARBON AL GRANEL;67132;0;0;;;;2020;12
CARTAGENA;ZONA FRANCA ARGOS S.A.S.;GRANEL SOLIDO DIFER. DE CARBON;75262;0;0;;;;2020;6
CARTAGENA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;CONTENEDORES;10014;21382;10116;15755;;;2019;11
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GENERAL;2484;10617;4643;;;;2020;1
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;34124;0;;;;2020;12
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GRANEL LIQUIDO;12226;41915;0;;;;2020;8
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;CONTENEDORES;0;0;344;;;;2019;2
Z.P. RIO MAGDALENA;PUERTO PIMSA S.A.;GENERAL;0;270;0;;;;2020;9
BUENAVENTURA;SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.;CONTENEDORES;64833;138162;82314;;;;2018;5
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;GENERAL;0;208;1;;;;2018;11
TURBO;PROMOTORA BANANERA S.A;CONTENEDORES;8066;0;0;;;336;2018;4
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;CONTENEDORES;0;108;0;;;;2018;12
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;CONTENEDORES;0;379;280;;;48;2020;7
CARTAGENA;SOCIEDAD PORTUARIA TRANSMARSYP S.A.;CONTENEDORES;0;0;0;;;5566;2019;2
CIENAGA;AMERICAN PORT COMPANY INC;CARBON AL GRANEL;2614743;0;0;;;;2018;8
CARTAGENA;SOCIEDAD PORTUARIA BAVARIA S.A;GRANEL SOLIDO DIFER. DE CARBON;6000;29850;0;;;;2018;10
CARTAGENA;SOCIEDAD PORTUARIA TRANSMARSYP S.A.;GENERAL;0;0;0;;;2079;2019;12
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;GENERAL;190;10960;0;;;2653;2018;12
CARTAGENA;SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.;GRANEL LIQUIDO;0;58032;0;;;;2020;6
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;GRANEL SOLIDO DIFER. DE CARBON;0;4042;0;;;;2020;2
Z.P. RIO MAGDALENA;PUERTO PIMSA S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;5517;0;;;;2020;12
BUENAVENTURA;GRUPO PORTUARIO S.A;GRANEL SOLIDO DIFER. DE CARBON;0;49181;0;;;;2020;5
G. MORROSQUILLO;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;1281248;0;0;;;;2020;2
SAN ANDRES;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;7405;2019;7
CARTAGENA;ALGRANEL S.A.;GRANEL LIQUIDO;7405;14384;0;;;;2018;5
GUAJIRA;CERREJON ZONA NORTE S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;13033;0;;;;2018;4
G. MORROSQUILLO;OLEODUCTO CENTRAL SA;GRANEL LIQUIDO;1225181;0;0;;;;2018;2
CARTAGENA;SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.;GRANEL LIQUIDO;0;73164;0;;;;2020;8
BARRANCABERMEJA;ECOPETROL S.A.;GRANEL LIQUIDO;0;0;0;;128936;;2018;5
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GRANEL LIQUIDO;0;78145;0;;;;2019;10
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL LIQUIDO;0;12599;0;;;;2018;11
GUAJIRA;PUERTO BRISA S.A.;CARBON AL GRANEL;74661;0;0;;;;2018;6
